               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,             0.02665,            0.024522,           0.0010619,             0.76389,             0.71976,             0.76945,             0.40713,             0.03912,             0.01656,          0.00054467,            0.006205,            0.006205,            0.006205
                 117,            0.026356,            0.025226,           0.0011168,              0.7028,             0.74409,             0.72636,             0.40505,            0.042363,            0.017038,           0.0005903,            0.006172,            0.006172,            0.006172
                 118,            0.026104,            0.024727,          0.00092063,             0.85413,              0.6895,             0.77441,             0.45261,            0.038452,            0.016544,          0.00063257,            0.006139,            0.006139,            0.006139
                 119,            0.026669,            0.024722,          0.00091553,             0.71747,             0.70604,             0.70734,              0.3811,            0.040524,            0.017651,          0.00042193,            0.006106,            0.006106,            0.006106
                 120,            0.026339,             0.02457,           0.0011648,             0.76353,             0.72714,              0.7619,             0.41738,            0.041409,             0.01571,          0.00046327,            0.006073,            0.006073,            0.006073
                 121,             0.02603,            0.024348,           0.0010844,             0.70085,             0.76251,             0.73821,             0.38557,            0.041875,            0.017272,          0.00076103,             0.00604,             0.00604,             0.00604
                 122,            0.026205,            0.024547,           0.0012619,             0.89572,             0.74846,             0.80213,             0.42819,            0.039774,            0.017401,          0.00096159,            0.006007,            0.006007,            0.006007
                 123,            0.025701,            0.024731,           0.0011687,             0.76739,             0.76296,             0.72102,             0.39243,            0.042161,            0.017266,          0.00059388,            0.005974,            0.005974,            0.005974
                 124,            0.025574,            0.024659,           0.0012965,             0.80561,             0.75331,             0.78472,             0.42523,            0.039023,            0.016254,          0.00054889,            0.005941,            0.005941,            0.005941
                 125,            0.025649,            0.024258,           0.0011236,             0.75739,             0.79129,             0.75334,             0.39157,            0.038953,            0.017253,           0.0005192,            0.005908,            0.005908,            0.005908
                 126,            0.025337,            0.024352,           0.0011333,              0.7235,              0.8135,             0.78154,             0.42065,            0.039981,            0.016498,           0.0007129,            0.005875,            0.005875,            0.005875
                 127,            0.025896,            0.024865,           0.0011336,             0.80965,             0.71894,             0.76895,             0.40849,            0.039126,             0.01673,          0.00074944,            0.005842,            0.005842,            0.005842
                 128,            0.025246,            0.024977,           0.0011812,             0.70961,             0.77349,             0.74836,             0.44719,            0.037927,            0.016117,          0.00078707,            0.005809,            0.005809,            0.005809
                 129,            0.025335,            0.023886,           0.0010941,             0.77599,             0.71544,             0.77753,             0.40291,            0.041078,            0.017772,          0.00080388,            0.005776,            0.005776,            0.005776
                 130,            0.025382,            0.023858,           0.0010393,             0.74394,             0.74703,             0.75544,             0.41725,            0.038673,            0.017878,          0.00080931,            0.005743,            0.005743,            0.005743
                 131,            0.026059,            0.023685,           0.0009763,             0.72191,             0.71475,              0.7271,             0.40488,            0.040119,            0.017673,          0.00049167,             0.00571,             0.00571,             0.00571
                 132,            0.025921,            0.023855,           0.0010521,              0.7148,             0.75918,             0.72823,             0.40507,            0.039742,            0.015406,          0.00042354,            0.005677,            0.005677,            0.005677
                 133,            0.025809,            0.023928,           0.0010975,             0.72922,             0.77361,             0.78416,             0.40292,            0.039289,            0.016472,          0.00048494,            0.005644,            0.005644,            0.005644
                 134,            0.025583,            0.023927,           0.0012448,             0.74029,             0.71868,             0.75299,             0.42549,            0.040279,             0.01626,           0.0008435,            0.005611,            0.005611,            0.005611
                 135,             0.02512,            0.024079,           0.0010741,                 0.8,             0.67181,             0.76107,              0.4398,            0.038133,            0.016255,          0.00080452,            0.005578,            0.005578,            0.005578
                 136,            0.025586,            0.024113,            0.001095,             0.71796,             0.79557,             0.76915,             0.42987,            0.039641,            0.016555,          0.00056255,            0.005545,            0.005545,            0.005545
                 137,            0.025495,            0.023663,          0.00097274,             0.76914,              0.7006,             0.78815,             0.46409,            0.039234,            0.017515,          0.00058608,            0.005512,            0.005512,            0.005512
                 138,            0.025124,            0.023892,          0.00096685,             0.79426,             0.73948,              0.7895,             0.44748,            0.039266,            0.016232,          0.00071118,            0.005479,            0.005479,            0.005479
                 139,            0.025228,            0.023877,           0.0011178,             0.75605,             0.71058,             0.78472,             0.43277,            0.038065,             0.01704,          0.00054996,            0.005446,            0.005446,            0.005446
                 140,            0.025233,            0.023733,           0.0013332,             0.77975,              0.7193,              0.7891,              0.4154,            0.040621,            0.016855,          0.00059981,            0.005413,            0.005413,            0.005413
                 141,            0.025487,            0.024069,           0.0012408,              0.8236,             0.77975,             0.82416,              0.4731,            0.038077,            0.016116,          0.00052371,             0.00538,             0.00538,             0.00538
                 142,            0.025749,            0.023683,           0.0013675,             0.80226,             0.76666,             0.81169,             0.46953,            0.038114,            0.015508,          0.00055175,            0.005347,            0.005347,            0.005347
